time,temperature,density,fusion_power,E_field,control_signal
2.88,0.6294852736871854,1.2758425582009324e+19,2.273000988984288e-05,0.0,32.90836465800638
2.89,0.6269723617668314,1.2767915055195314e+19,2.2718352586283166e-05,0.0,32.96455877621241
2.9,0.6244694814176409,1.277740414880997e+19,2.2706674826402165e-05,0.0,33.02072816743253
2.91,0.621976592593475,1.2786892862868472e+19,2.2694976688182133e-05,0.0,33.07687293037719
2.92,0.6194936554080596,1.2796381197386002e+19,2.2683258249482013e-05,0.0,33.13299316336268
2.93,0.6170206301343464,1.2805869152377741e+19,2.2671519588037414e-05,0.0,33.18908896431287
2.94,0.6145574772038784,1.2815356727858872e+19,2.265976078146058e-05,0.0,33.24516043076073
2.95,0.6121041572061563,1.2824843923844573e+19,2.2647981907240285e-05,0.0,33.30120765984982
2.96,0.6096606308880076,1.2834330740350024e+19,2.2636183042741857e-05,0.0,33.357230748335944
2.97,0.6072268591529592,1.2843817177390404e+19,2.2624364265207118e-05,0.0,33.41322979258865
2.98,0.6048028030606113,1.285330323498089e+19,2.261252565175434e-05,0.0,33.469204888592785
2.99,0.6023884238260149,1.2862788913136663e+19,2.2600667279378187e-05,0.0,33.52515613195
3.0,0.5999836828190506,1.2872274211872897e+19,2.2588789224949728e-05,0.0,33.58108361788029
3.0100000000000002,0.597588541563811,1.288175913120477e+19,2.257689156521636e-05,0.0,33.636987441223624
3.02,0.5952029617379849,1.2891243671147459e+19,2.256497437680178e-05,0.0,33.692867696441226
3.0300000000000002,0.5928269051722443,1.2900727831716137e+19,2.2553037736205974e-05,0.0,33.74872447761735
3.04,0.5904603338496335,1.2910211612925979e+19,2.2541081719805154e-05,0.0,33.80455787846061
3.0500000000000003,0.5881032099049606,1.291969501479216e+19,2.2529106403851747e-05,0.0,33.86036799230555
3.06,0.5857554956241924,1.2929178037329852e+19,2.2517111864474364e-05,0.0,33.916154912114095
3.0700000000000003,0.5834171534438503,1.293866068055423e+19,2.2505098177677765e-05,0.0,33.9719187304771
3.08,0.5810881459504094,1.2948142944480465e+19,2.249306541934283e-05,0.0,34.0276595396158
3.09,0.5787684358797002,1.295762482912373e+19,2.2481013665226537e-05,0.0,34.08337743138322
3.1,0.5764579861163122,1.2967106334499193e+19,2.2468942990961927e-05,0.0,34.13907249726581
3.11,0.5741567596929997,1.2976587460622027e+19,2.2456853472058102e-05,0.0,34.19474482838467
3.12,0.571864719790091,1.29860682075074e+19,2.244474518390017e-05,0.0,34.25039451549727
3.13,0.5695818297348987,1.2995548575170482e+19,2.2432618201749247e-05,0.0,34.30602164899872
3.14,0.5673080530011332,1.3005028563626443e+19,2.242047260074243e-05,0.0,34.36162631892328
3.15,0.5650433532083182,1.3014508172890448e+19,2.2408308455892755e-05,0.0,34.417208614945764
3.16,0.5627876941212088,1.3023987402977667e+19,2.2396125842089218e-05,0.0,34.472768626383036
3.17,0.5605410396492114,1.3033466253903266e+19,2.2383924834096725e-05,0.0,34.52830644219541
3.18,0.5583033538458066,1.304294472568241e+19,2.2371705506556072e-05,0.0,34.583822150988055
3.19,0.5560746009079738,1.3052422818330266e+19,2.2359467933983964e-05,0.0,34.63931584101241
3.2,0.5538547451756184,1.3061900531861998e+19,2.2347212190772953e-05,0.0,34.694787600167665
3.21,0.5516437511310013,1.307137786629277e+19,2.2334938351191457e-05,0.0,34.75023751600205
3.22,0.5494415833981707,1.3080854821637749e+19,2.2322646489383735e-05,0.0,34.805665675714366
3.23,0.5472482067423959,1.3090331397912095e+19,2.2310336679369888e-05,0.0,34.861072166155246
3.24,0.5450635860696036,1.309980759513097e+19,2.2298008995045803e-05,0.0,34.9164570738287
3.25,0.5428876864258163,1.3109283413309538e+19,2.2285663510183206e-05,0.0,34.97182048489332
3.2600000000000002,0.5407204729965934,1.3118758852462959e+19,2.227330029842959e-05,0.0,35.02716248516383
3.27,0.5385619111064738,1.3128233912606394e+19,2.226091943330828e-05,0.0,35.08248316011233
3.2800000000000002,0.5364119662184211,1.3137708593755003e+19,2.2248520988218344e-05,0.0,35.13778259486974
3.29,0.5342706039332714,1.3147182895923945e+19,2.223610503643465e-05,0.0,35.193060874227115
3.3000000000000003,0.5321377899891824,1.3156656819128381e+19,2.2223671651107832e-05,0.0,35.24831808263708
3.31,0.5300134902610855,1.3166130363383468e+19,2.2211220905264273e-05,0.0,35.30355430421503
3.3200000000000003,0.5278976707601396,1.3175603528704362e+19,2.2198752871806134e-05,0.0,35.35876962274064
3.33,0.5257902976331877,1.3185076315106224e+19,2.218626762351134e-05,0.0,35.41396412165912
3.34,0.5236913371622148,1.3194548722604206e+19,2.2173765233033555e-05,0.0,35.46913788408258
3.35,0.5216007557638085,1.3204020751213468e+19,2.216124577290221e-05,0.0,35.52429099279131
3.36,0.5195185199886219,1.3213492400949162e+19,2.2148709315522495e-05,0.0,35.57942353023516
3.37,0.5174445965208381,1.3222963671826444e+19,2.213615593317535e-05,0.0,35.63453557853483
3.38,0.5153789521776374,1.3232434563860468e+19,2.2123585698017492e-05,0.0,35.689627219483235
3.39,0.5133215539086663,1.3241905077066387e+19,2.211099868208138e-05,0.0,35.74469853454671
3.4,0.5112723687955085,1.3251375211459355e+19,2.2098394957275243e-05,0.0,35.7997496048664
3.41,0.5092313640511587,1.3260844967054522e+19,2.2085774595383098e-05,0.0,35.85478051125956
3.42,0.5071985070194972,1.3270314343867042e+19,2.2073137668064723e-05,0.0,35.90979133422079
3.43,0.5051737651747682,1.3279783341912064e+19,2.2060484246855687e-05,0.0,35.964782153923366
3.44,0.503157106121059,1.328925196120474e+19,2.204781440316734e-05,0.0,36.0197530502205
3.45,0.5011484975917818,1.329872020176022e+19,2.203512820828685e-05,0.0,36.074704102646656
3.46,0.49914790744915716,1.330818806359365e+19,2.202242573337717e-05,0.0,36.129635390418755
3.47,0.49715530368370014,1.3317655546720182e+19,2.20097070494771e-05,0.0,36.18454699243754
3.48,0.49517065441370806,1.3327122651154962e+19,2.199697222750124e-05,0.0,36.2394389872887
3.49,0.4931939278847502,1.333658937691314e+19,2.1984221338240052e-05,0.0,36.294311453244305
3.5,0.4912250924691599,1.334605572400986e+19,2.197145445235985e-05,0.0,36.34916446826389
3.5100000000000002,0.4892641166655286,1.3355521692460268e+19,2.1958671640402805e-05,0.0,36.4039981099958
3.52,0.48731096909820154,1.336498728227951e+19,2.1945872972786985e-05,0.0,36.45881245577841
3.5300000000000002,0.48536561851677595,1.3374452493482734e+19,2.1933058519806353e-05,0.0,36.513607582641356
3.54,0.4834280337956011,1.3383917326085081e+19,2.1920228351630777e-05,0.0,36.568383567306775
3.5500000000000003,0.4814981839332801,1.3393381780101695e+19,2.190738253830606e-05,0.0,36.6231404861905
3.56,0.4795760380521739,1.340284585554772e+19,2.1894521149753957e-05,0.0,36.67787841540337
3.5700000000000003,0.4776615653979075,1.3412309552438299e+19,2.188164425577221e-05,0.0,36.732597430752314
3.58,0.4757547353388775,1.3421772870788573e+19,2.1868751926034503e-05,0.0,36.78729760774172
3.59,0.4738555173657624,1.3431235810613684e+19,2.1855844230090556e-05,0.0,36.84197902157448
3.6,0.47196388109103404,1.3440698371928773e+19,2.184292123736614e-05,0.0,36.896641747153346
3.61,0.4700797962484717,1.3450160554748977e+19,2.1829983017163025e-05,0.0,36.95128585908201
3.62,0.4682032326926776,1.3459622359089439e+19,2.1817029638659102e-05,0.0,37.00591143166638
3.63,0.46633416039859493,1.3469083784965296e+19,2.1804061170908342e-05,0.0,37.06051853891569
